ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200092794001,1704292200092578871,0,1,17077,T,B,0,4764250000000,4,0,16065,8559250
1704292200093452383,1704292200093274667,0,1,17077,T,A,0,4764000000000,1,0,15662,8559265
1704292200094757569,1704292200094403657,0,1,17077,T,B,0,4764250000000,26,0,17411,8559285
1704292200094757569,1704292200094403657,0,1,17077,T,B,0,4764500000000,5,0,17411,8559285
1704292200094918419,1704292200094684593,0,1,17077,T,B,0,4764250000000,3,0,16094,8559287
1704292200095032837,1704292200094741853,0,1,17077,T,A,0,4764250000000,1,0,18604,8559288
1704292200095186244,1704292200094896245,0,1,17077,T,A,0,4764250000000,1,0,15762,8559291
1704292200095250666,1704292200094935675,0,1,17077,T,A,0,4764250000000,1,0,15957,8559293
1704292200095460057,1704292200095074129,0,1,17077,T,A,0,4764250000000,17,0,16337,8559295
1704292200095670519,1704292200095462661,0,1,17077,T,A,0,4764250000000,1,0,15762,8559298
1704292200095695908,1704292200095464677,0,1,17077,T,A,0,4764250000000,1,0,16474,8559299
1704292200096427226,1704292200096243685,0,1,17077,T,A,0,4764250000000,13,0,15489,8559303
1704292200096592454,1704292200096413535,0,1,17077,T,A,0,4764250000000,1,0,15310,8559305
1704292200096640667,1704292200096440469,0,1,17077,T,A,0,4764250000000,1,0,15404,8559306
1704292200096710313,1704292200096455713,0,1,17077,T,B,0,4764250000000,1,0,15828,8559307
1704292200096947905,1704292200096703523,0,1,17077,T,B,0,4764250000000,2,0,16344,8559314
1704292200096947905,1704292200096703523,0,1,17077,T,B,0,4764500000000,3,0,16344,8559314
1704292200097288764,1704292200097049027,0,1,17077,T,B,0,4764500000000,1,0,16280,8559331
1704292200098560092,1704292200098375873,0,1,17077,T,A,0,4764250000000,1,0,15289,8559343
1704292200101528003,1704292200101343381,0,1,17077,T,A,0,4764250000000,1,0,15732,8559354
1704292200105120546,1704292200104911257,0,1,17077,T,A,0,4764250000000,2,0,15647,8559376
1704292200105269267,1704292200105098909,0,1,17077,T,A,0,4764250000000,1,0,15485,8559378
1704292200105390373,1704292200105175381,0,1,17077,T,A,0,4764250000000,4,0,16286,8559380
1704292200107048618,1704292200106874061,0,1,17077,T,B,0,4764250000000,1,0,15341,8559401
1704292200113185292,1704292200113002585,0,1,17077,T,B,0,4764250000000,1,0,13386,8559409
1704292200113754301,1704292200113559869,0,1,17077,T,B,0,4764250000000,3,0,15526,8559416
1704292200113977276,1704292200113759993,0,1,17077,T,B,0,4764250000000,8,0,15675,8559419
1704292200114171042,1704292200113980457,0,1,17077,T,B,0,4764250000000,2,0,15714,8559421
1704292200114430192,1704292200114213527,0,1,17077,T,A,0,4764250000000,2,0,15194,8559432
1704292200125469014,1704292200125267639,0,1,17077,T,A,0,4764250000000,1,0,16370,8559491
1704292200125697288,1704292200125418817,0,1,17077,T,A,0,4764250000000,7,0,16060,8559493
1704292200125738288,1704292200125524581,0,1,17077,T,B,0,4764500000000,1,0,15593,8559494
1704292200125920416,1704292200125658813,0,1,17077,T,A,0,4764250000000,6,0,15552,8559495
1704292200126019132,1704292200125729053,0,1,17077,T,B,0,4764250000000,1,0,17654,8559497
1704292200126227310,1704292200125941329,0,1,17077,T,B,0,4764250000000,1,0,15400,8559509
1704292200126280044,1704292200126008291,0,1,17077,T,B,0,4764250000000,1,0,14062,8559511
1704292200126311470,1704292200126022527,0,1,17077,T,B,0,4764250000000,1,0,15008,8559512
